178.204.0.0/17,"TATTELECOM-AS OJSC _OAO TATTELECOM_",RU
178.211.184.0/21,"INTERRA-AS INTERRA telecommunications group, Ltd.",RU
178.211.64.0/19,"MANDARIN-AS Mandarin WIMAX Sicilia SpA",IT
178.215.160.0/20,"TELEMOSTUA-AS Telemost LLC",UA
178.217.184.0/21,"HOSTEAM-AS HOSTEAM S.C. TOMASZ GROSZEWSKI BARTOSZ WASZAK LUKASZ GROSZEWSKI",PL
178.218.210.0/23,"ESERVER Hosting Operator eServer.ru Ltd.",RU
178.219.80.0/20,"ASDNEPRONET Dnepronet Ltd.",UA
178.22.144.0/21,"COV-ASN COVAGE NETWORKS SASU",FR
178.233.133.0/24,"TURKSAT-AS Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.",TR
178.234.0.0/16,"LES PJSC Rostelecom",RU
178.234.0.0/17,"LES PJSC Rostelecom",RU
178.234.0.0/18,"LES PJSC Rostelecom",RU
178.234.128.0/17,"LES PJSC Rostelecom",RU
178.239.50.0/24,"NETROUTING-AS Netrouting",NL
178.241.128.0/19,"TURKCELL-AS TURKCELL ILETISIM HIZMETLERI A.S.",TR
178.249.184.0/21,"CDLAN-AS CDLAN s.r.l.",IT
178.252.64.0/18,"NWLINK-AS Nord-West Link NP",RU
178.254.0.0/19,"EVANZOAS EVANZO e-commerce GmbH",DE
178.254.32.0/20,"EVANZOAS EVANZO e-commerce GmbH",DE
178.255.144.0/21,"BLIX Blix Solutions AS",NO
178.255.215.0/24,"DASSAULTSYSTEMES-AS DASSAULT SYSTEMES SE",FR
178.32.0.0/15,"OVH OVH SAS",FR
178.32.135.0/24,"OVH OVH SAS",FR
178.33.224.0/20,"OVH OVH SAS",FR
178.46.32.0/19,"HMFES PJSC Rostelecom",RU
178.46.64.0/18,"USI PJSC Rostelecom",RU
178.47.64.0/19,"PFES PJSC Rostelecom",RU
178.57.65.0/24,"AS-REGION40 Trusov Ilya Igorevych",UA
178.57.68.0/24,"AS-REGION40 Trusov Ilya Igorevych",UA
178.62.0.0/17,NO_N,ZZ
178.62.0.0/18,NO_N,ZZ
178.62.128.0/17,NO_N,ZZ
178.62.192.0/18,NO_N,ZZ
178.63.0.0/16,"HETZNER-AS Hetzner Online GmbH",DE
178.63.97.0/26,"HETZNER-AS Hetzner Online GmbH",DE
178.65.0.0/17,"ASN-SPBNIT PJSC Rostelecom",RU
178.74.192.0/18,"EVEREST-AS _Everest_ Broadcasting Company Ltd",UA
178.79.40.0/23,"KTI-AS Preduzece za proizvodnju, promet i inzenjering Kopernikus technology D.O.O",RS
178.79.6.0/23,"KTI-AS Preduzece za proizvodnju, promet i inzenjering Kopernikus technology D.O.O",RS
178.85.0.0/16,"LGI-UPC Liberty Global Operations B.V.",AT
178.88.0.0/14,"KAZTELECOM-AS JSC Kazakhtelecom",KZ
178.90.224.0/21,"KAZTELECOM-AS JSC Kazakhtelecom",KZ
178.91.16.0/21,"KAZTELECOM-AS JSC Kazakhtelecom",KZ
178.91.192.0/20,"KAZTELECOM-AS JSC Kazakhtelecom",KZ
178.92.0.0/16,"UKRTELNET JSC UKRTELECOM",UA
179.105.0.0/16,"CLARO S.A.",BR
179.105.48.0/20,"CLARO S.A.",BR
179.107.232.0/21,NO_N,ZZ
179.108.104.0/22,"OptiTel Ltda",BR
179.125.128.0/17,"Desktop Sigmanet Comunicação Multimídia Ltda",BR
179.125.38.0/24,NO_N,ZZ
179.126.0.0/16,"ALGAR TELECOM S/A",BR
179.128.0.0/14,"TELEFÔNICA BRASIL S.A",BR
179.155.0.0/19,"CLARO S.A.",BR
179.155.160.0/19,"CLARO S.A.",BR
179.156.0.0/14,"CLARO S.A.",BR
179.156.0.0/18,"CLARO S.A.",BR
179.157.24.0/21,"CLARO S.A.",BR
179.158.128.0/19,"CLARO S.A.",BR
179.176.160.0/20,"Global Village Telecom",BR
179.178.96.0/21,"Global Village Telecom",BR
179.179.0.0/21,"Global Village Telecom",BR
179.180.0.0/14,"Global Village Telecom",BR
179.181.32.0/19,"Global Village Telecom",BR
179.182.176.0/20,"Global Village Telecom",BR
179.183.64.0/21,"Global Village Telecom",BR
179.183.80.0/20,"Global Village Telecom",BR
179.184.0.0/14,"Global Village Telecom",BR
179.184.197.216/29,"Global Village Telecom",BR
179.187.160.0/20,"Global Village Telecom",BR
179.187.224.0/19,"Global Village Telecom",BR
179.191.192.0/19,"VM OPENLINK COMUNICAÇÃO MULTIMIDIA E INFORMÁTICA L",BR
cidr,asname,country
179.197.160.0/19,"Telemar Norte Leste S.A.",BR
179.199.0.0/16,"Telemar Norte Leste S.A.",BR
179.199.192.0/18,"Telemar Norte Leste S.A.",BR
179.199.64.0/18,"Telemar Norte Leste S.A.",BR
179.208.0.0/14,"CLARO S.A.",BR
179.208.0.0/16,"CLARO S.A.",BR
179.209.0.0/16,"CLARO S.A.",BR
179.211.160.0/19,"CLARO S.A.",BR
179.211.240.0/21,"CLARO S.A.",BR
179.212.0.0/14,"CLARO S.A.",BR
179.215.160.0/19,"CLARO S.A.",BR
179.216.96.0/20,"CLARO S.A.",BR
179.217.0.0/18,"CLARO S.A.",BR
179.223.0.0/17,"CLARO S.A.",BR
179.228.0.0/14,"TELEFÔNICA BRASIL S.A",BR
179.233.0.0/19,"CLARO S.A.",BR
179.233.160.0/19,"CLARO S.A.",BR
179.234.64.0/19,"CLARO S.A.",BR
179.34.128.0/18,"Tim Celular S.A.",BR
179.34.192.0/18,"Tim Celular S.A.",BR
179.4.0.0/16,"Telmex Servicios Empresariales S.A.",CL
179.40.68.0/24,"Telefonica de Argentina",AR
179.43.128.0/18,"PLI-AS Private Layer INC",CH
179.43.134.192/26,"PLI-AS Private Layer INC",CH
179.52.0.0/15,"Compañía Dominicana de Teléfonos, C. por A. - CODETEL",DO
179.61.200.0/23,NO_N,ZZ
179.7.80.0/20,"America Movil Peru S.A.C.",PE
179.7.96.0/19,"America Movil Peru S.A.C.",PE
179.97.128.0/18,"TELEFÔNICA BRASIL S.A",BR
179.98.0.0/15,"TELEFÔNICA BRASIL S.A",BR
18.0.0.0/8,"MIT-GATEWAYS - Massachusetts Institute of Technology",US
180.148.211.0/24,"X-LINK-LIMITED-BD 52/1, Hasan Holding, 3rd Floor",BD
180.150.188.0/22,"CHINA169-BJ CNCGROUP IP network China169 Beijing Province Network",CN
180.150.227.0/24,"KIXS-AS-KR Korea Telecom",KR
180.152.0.0/16,"CHINANET-SH-AP China Telecom (Group)",CN
180.167.0.0/16,"CHINANET-SH-AP China Telecom (Group)",CN
180.189.83.0/24,"SPEEDONSTV-AS-KR SOOSUNG CABLE TELEVISION INC",KR
180.190.92.0/22,NO_N,ZZ
180.191.120.0/22,NO_N,ZZ
180.210.200.0/21,"SPARKSTATION-SG-AP 10 Science Park Road",SG
180.214.232.0/24,"THREE-AS-ID Hutchison CP Telecommunications, PT",ID
180.215.128.0/19,NO_N,ZZ
180.216.64.0/19,"WAWB-AS-AP WAWB Pty Ltd",AU
180.234.0.0/16,"AUGERE-AS-AP Augere Wireless Broadband Bangladesh Limited",BD
180.235.148.0/24,"ARDH-AS-ID ARDH GLOBAL INDONESIA, PT",ID
180.242.78.0/23,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
180.245.80.0/21,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
180.248.0.0/16,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
180.250.0.0/16,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
180.252.208.0/20,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
180.253.144.0/21,"TELKOMNET-AS2-AP PT Telekomunikasi Indonesia",ID
180.76.0.0/16,"CNNIC-BAIDU-AP Beijing Baidu Netcom Science and Technology Co., Ltd.",CN
180.76.15.0/24,"CNNIC-BAIDU-AP Beijing Baidu Netcom Science and Technology Co., Ltd.",CN
180.93.132.0/22,"SPT-AS-VN Saigon Postel Corporation",VN
180.97.192.0/22,"CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone",CN
181.117.0.0/18,"AMX Argentina S.A.",AR
181.120.64.0/19,"Telecel S.A.",PY
181.135.128.0/19,"EPM Telecomunicaciones S.A. E.S.P.",CO
181.136.128.0/17,"EPM Telecomunicaciones S.A. E.S.P.",CO
181.138.128.0/17,"EPM Telecomunicaciones S.A. E.S.P.",CO
181.14.242.80/29,"Telecom Argentina S.A.",AR
181.165.224.0/19,"CABLEVISION S.A.",AR
181.169.128.0/19,"CABLEVISION S.A.",AR
181.196.232.0/21,"CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP",EC
181.199.128.0/20,"NEWCOM-INTL - NewCom International, Inc.",US
181.20.0.0/14,"Telefonica de Argentina",AR
181.211.224.0/21,"CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP",EC
181.41.64.0/19,"Guyana Telephone & Telegraph Co.",GY
181.54.208.0/22,"Telmex Colombia S.A.",CO
181.55.92.0/22,"Telmex Colombia S.A.",CO
181.58.140.0/22,"Telmex Colombia S.A.",CO
181.64.0.0/15,"Telefonica del Peru S.A.A.",PE
181.64.0.0/19,"Telefonica del Peru S.A.A.",PE
181.64.209.0/24,"Telefonica del Peru S.A.A.",PE
181.66.224.0/19,"Telefonica del Peru S.A.A.",PE
181.95.56.0/21,"Telecom Argentina S.A.",AR
182.112.0.0/12,"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN
182.140.132.0/24,"CHINANET-SCIDC-AS-AP CHINANET SiChuan Telecom Internet Data Center",CN
182.160.128.0/18,"CRUCIALX-AS-AP Crucial Paradigm Pty Ltd",AU
182.186.128.0/17,"PKTELECOM-AS-PK Pakistan Telecom Company Limited",PK
182.188.240.0/21,"PKTELECOM-AS-PK Pakistan Telecom Company Limited",PK
182.248.0.0/14,"KDDI KDDI CORPORATION",JP
182.253.224.0/24,"BIZNET-AS-AP BIZNET NETWORKS",ID
182.253.25.0/24,"BIZNET-AS-AP BIZNET NETWORKS",ID
182.253.32.0/20,"BIZNET-AS-AP BIZNET NETWORKS",ID
182.253.34.0/24,"BIZNET-AS-AP BIZNET NETWORKS",ID
182.253.73.0/24,"BIZNET-AS-AP BIZNET NETWORKS",ID
182.254.152.0/23,"CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited",CN
182.52.0.0/19,"TOTNET-TH-AS-AP TOT Public Company Limited",TH
182.66.32.0/20,"BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service",IN
182.68.64.0/18,"AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services",IN
182.70.16.0/20,"AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services",IN
182.70.224.0/21,"AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services",IN
183.0.0.0/10,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
183.0.0.0/15,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
183.112.0.0/12,"KIXS-AS-KR Korea Telecom",KR
183.128.0.0/11,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
183.192.0.0/10,"CMNET-GD Guangdong Mobile Communication Co.Ltd.",CN
183.203.0.0/16,"CMNET-SHANXI-AP China Mobile communications corporation",CN
183.207.180.0/22,"CMNET-JIANGSU-AP China Mobile communications corporation",CN
183.247.176.0/22,"CMNET-ZHEJIANG-AP China Mobile communications corporation",CN
183.57.152.0/22,"CHINATELECOM-GUANGDONG-IDC Guangdong",CN
183.60.40.0/21,"CHINATELECOM-GUANGDONG-IDC Guangdong",CN
183.64.0.0/13,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
184.106.0.0/16,"RACKSPACE - Rackspace Hosting",US
184.107.181.72/29,"IWEB-AS - iWeb Technologies Inc.",CA
184.154.0.0/16,"SINGLEHOP-INC - SingleHop",US
184.168.0.0/16,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US
184.168.200.0/22,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US
184.168.44.0/22,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US
184.173.64.0/18,"SOFTLAYER - SoftLayer Technologies Inc.",US
184.178.232.0/21,"ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.",US
184.64.0.0/13,"SHAW - Shaw Communications Inc.",CA
184.72.0.0/18,"AMAZON-02 - Amazon.com, Inc.",US
184.74.0.0/17,"RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC",US
184.95.32.0/19,"SSASN2 - SECURED SERVERS LLC",US
185.10.104.0/22,"not routed",XX
185.101.68.0/24,NO_N,ZZ
185.101.71.0/24,NO_N,ZZ
185.104.216.0/22,"WEBWORLD-AS Sternforth Ltd t/a Web World Ireland",IE
185.106.104.0/23,"AS-REGION40 Trusov Ilya Igorevych",UA
185.11.146.0/24,"DOTSI Dotsi, Unipessoal Lda.",PT
185.11.164.0/22,"CLARANET-AS ClaraNET LTD",GB
185.11.176.0/22,"ASKHALIJFARSONLINE Khalij Ettela Resan Jonoub LTD",IR
185.11.224.0/22,NO_N,ZZ
185.11.8.0/22,"PTC-YEMENNET Public Telecommunication Corporation",YE
185.14.192.0/24,NO_N,ZZ
185.14.195.0/24,NO_N,ZZ
185.14.28.0/23,"SERVERIUS-AS Serverius Holding B.V.",NL
185.14.56.0/22,NO_N,ZZ
185.15.184.0/22,NO_N,ZZ
185.19.124.0/22,"INT-PDN-STE-AS Syrian Telecom",SY
185.19.92.160/28,NO_N,ZZ
185.2.32.0/24,NO_N,ZZ
185.22.183.128/25,NO_N,ZZ
185.22.60.0/22,NO_N,ZZ
185.23.21.0/24,"PL-BEYOND-AS E24 sp. z o.o.",PL
185.3.135.0/24,"AS57858 Inter Connects Inc",EE
185.3.135.40/29,"AS57858 Inter Connects Inc",EE
185.31.156.0/22,"ONI ONITELECOM - INFOCOMUNICACOES, S.A.",PT
185.31.96.0/22,NO_N,ZZ
185.32.124.0/24,"FSIT FSIT AG",CH
185.32.200.0/22,"CLARANET-AS ClaraNET LTD",GB
185.36.100.0/24,"DISKGROUP Disk Group Ltd.",CZ
185.38.138.0/23,"ARIASPA ARIA S.P.A.",IT
185.38.248.0/22,NO_N,ZZ
185.43.108.0/22,"VOOSERVERS VooServers Ltd",GB
185.44.104.0/22,"MEER-AS meerfarbig GmbH & Co. KG",DE
185.44.77.0/24,NO_N,ZZ
185.44.78.0/23,NO_N,ZZ
185.45.12.0/23,"M247 M247 Ltd",GB
185.45.248.0/23,"VODANET Vodafone GmbH",DE
185.46.120.0/22,"IHNET-EU IHNetworks, LLC",US
185.46.84.0/22,NO_N,ZZ
185.47.89.0/24,"ORIONTELEKOMTIM-AS Orion Telekom Tim d.o.o.Beograd",RS
185.48.116.0/22,"PROFITBRICKS-AS Profitbricks GmbH",DE
185.49.12.0/22,NO_N,ZZ
185.5.152.0/24,"MTC-KSA-AS MTC KSA",SA
185.5.154.0/24,"MTC-KSA-AS MTC KSA",SA
185.5.52.0/22,"RACKRAY UAB Rakrejus",LT
185.50.250.0/24,NO_N,ZZ
185.50.251.0/24,NO_N,ZZ
185.52.140.0/22,"SIBELTELECOM-AS PJSC _MTS_",RU
185.53.152.0/22,NO_N,ZZ
185.53.168.0/22,"TTM 23Media GmbH",DE
185.53.168.0/24,"TTM 23Media GmbH",DE
185.53.44.0/24,"DE-FIRSTCOLO First Colo GmbH",DE
185.54.176.0/22,NO_N,ZZ
185.56.80.0/24,"NFORCE NFOrce Entertainment BV",NL
185.57.28.0/22,"OCTOPUSNET-AS Octopusnet LTD",RU
185.57.80.0/22,"ALISTAR-AS ALISTAR SECURITY SRL",RO
185.58.204.0/24,"AS-MAROSNET MAROSNET Telecommunication Company LLC",RU
185.58.72.0/22,NO_N,ZZ
185.59.124.0/23,NO_N,ZZ
185.6.52.0/22,"VTELECOM _VIRTUAL TELECOM_ A. Sergiel, D. Ladniak Spolka Jawna",PL
185.60.229.0/24,NO_N,ZZ
185.62.188.0/23,"DOTSI Dotsi, Unipessoal Lda.",PT
185.62.189.0/24,"DOTSI Dotsi, Unipessoal Lda.",PT
185.63.188.0/22,"ISPSYSTEM-AS JSC _ISPsystem_",LU
185.63.252.0/22,NO_N,ZZ
185.65.205.0/24,"CITYNETHOST CityNet Telekom Ltd.",TR
185.65.206.0/24,"CITYNETHOST CityNet Telekom Ltd.",TR
185.65.248.0/22,"SEWAN-FR Sewan Communications S.A.S.",FR
185.66.248.0/22,"PCEXTREME PCextreme B.V.",NL
185.66.253.0/24,"KTNET OJSC Kyrgyztelecom",KG
185.68.111.0/24,NO_N,ZZ
185.69.52.0/22,"RACKRAY UAB Rakrejus",LT
185.7.212.0/22,NO_N,ZZ
185.7.214.0/23,NO_N,ZZ
185.75.56.0/22,"MAXTV N.SH. MAXTV",RS
185.8.106.0/23,"BALTICSERVERS1-AS UAB DUOMENU CENTRAS",LT
185.81.155.0/24,"DGN DGN TEKNOLOJI BILISIM YAYINCILIK SANAYI VE LIMITED SIRKETI",TR
185.82.203.0/24,"HS Host Sailor Ltd.",AE
185.82.216.0/32,"ITL-BG ITL Company",BG
185.84.180.0/24,"RADORE Radore Veri Merkezi Hizmetleri A.S.",TR
185.87.248.0/22,"NL-BIT BIT BV",NL
185.92.73.0/24,"HOSTMASTER-AS Hostmaster, Ltd.",MD
185.93.187.0/24,NO_N,ZZ
185.95.236.0/22,NO_N,ZZ
186.0.0.0/18,"EPM Telecomunicaciones S.A. E.S.P.",CO
186.108.86.0/23,"Telecom Argentina S.A.",AR
186.109.240.0/21,"Telecom Argentina S.A.",AR
186.109.248.0/21,"Telecom Argentina S.A.",AR
186.111.0.0/20,"Telecom Argentina S.A.",AR
186.112.0.0/17,"COLOMBIA TELECOMUNICACIONES S.A. ESP",CO
186.121.206.0/24,"AXS Bolivia S. A.",BO
186.121.212.0/24,"AXS Bolivia S. A.",BO
186.146.136.0/21,"Telmex Colombia S.A.",CO
186.154.128.0/20,"ETB - Colombia",CO
186.158.200.0/24,"Techtel LMDS Comunicaciones Interactivas S.A.",AR
186.178.64.0/18,"CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP",EC
186.179.136.0/21,"Telecommunicationcompany Suriname - TeleSur",SR
186.18.168.0/22,"Telecentro S.A.",AR
186.193.116.0/22,"RAPCHAN & RAPCHAN LTDA. - ME",BR
186.193.196.0/24,NO_N,ZZ
186.193.56.0/21,"Nettel Telecomunicações Ltda.",BR
186.202.0.0/16,"Locaweb Serviços de Internet S/A",BR
186.202.128.0/19,"Locaweb Serviços de Internet S/A",BR
186.202.64.0/19,"Locaweb Serviços de Internet S/A",BR
186.204.0.0/14,"CLARO S.A.",BR
186.204.0.0/16,"CLARO S.A.",BR
186.205.192.0/19,"CLARO S.A.",BR
186.207.208.0/20,"CLARO S.A.",BR
186.208.192.0/20,"Telgo Telecomunicações Goiás Ltda.",BR
186.208.255.0/24,NO_N,ZZ
186.209.24.0/21,"TPA TELECOMUNICACOES LTDA",BR
186.210.0.0/16,"ALGAR TELECOM S/A",BR
186.212.224.0/20,"Global Village Telecom",BR
186.213.0.0/19,"Global Village Telecom",BR
186.216.180.0/22,NO_N,ZZ
186.216.192.0/20,"YIP Telecom",BR
186.219.216.0/22,NO_N,ZZ
186.22.0.0/15,"Telecentro S.A.",AR
186.220.0.0/16,"CLARO S.A.",BR
186.222.128.0/18,"CLARO S.A.",BR
186.222.240.0/21,"CLARO S.A.",BR
186.222.64.0/19,"CLARO S.A.",BR
186.223.0.0/22,"CLARO S.A.",BR
186.223.192.0/20,"CLARO S.A.",BR
186.224.240.0/20,NO_N,ZZ
186.225.182.0/23,NO_N,ZZ
186.225.253.0/24,"Unetvale Servicos e Equipamentos LTDA",BR
186.225.72.0/21,"Next Telecomunicações do Brasil LTDA",BR
186.226.251.0/24,NO_N,ZZ
186.227.186.0/23,NO_N,ZZ
186.228.160.0/19,"Tim Celular S.A.",BR
186.229.0.0/16,"Tim Celular S.A.",BR
186.232.155.0/24,NO_N,ZZ
186.233.144.0/21,NO_N,ZZ
186.237.48.0/21,NO_N,ZZ
186.241.0.0/16,"Telemar Norte Leste S.A.",BR
186.241.32.0/19,"Telemar Norte Leste S.A.",BR
186.244.192.0/19,"Telemar Norte Leste S.A.",BR
186.247.128.0/19,"Telemar Norte Leste S.A.",BR
186.250.223.0/24,NO_N,ZZ
186.27.144.0/20,EMCATEL,CO
186.3.32.0/19,"Telconet S.A",EC
186.32.14.0/23,NO_N,ZZ
186.33.233.0/24,"ARSAT - Empresa Argentina de Soluciones Satelitales S.A.",AR
186.60.0.0/14,"Telefonica de Argentina",AR
186.80.0.0/14,"Telmex Colombia S.A.",CO
186.88.0.0/13,"CANTV Servicios, Venezuela",VE
186.92.0.0/19,"CANTV Servicios, Venezuela",VE
187.0.0.0/20,"Adylnet Telecom",BR
187.10.0.0/15,"TELEFÔNICA BRASIL S.A",BR
187.100.0.0/15,"TELEFÔNICA BRASIL S.A",BR
187.102.128.0/19,"Mundivox LTDA",BR
187.105.64.0/19,"CLARO S.A.",BR
187.106.32.0/19,"CLARO S.A.",BR
187.109.8.0/21,"SystemsFox prestação de serviços LTDA",BR
187.111.224.0/19,"CABO SERVICOS DE TELECOMUNICACOES LTDA",BR
187.112.0.0/14,"Global Village Telecom",BR
187.113.0.0/18,"Global Village Telecom",BR
187.113.160.0/20,"Global Village Telecom",BR
187.114.64.0/19,"Global Village Telecom",BR
187.122.0.0/17,"CLARO S.A.",BR
187.126.160.0/19,"Telemar Norte Leste S.A.",BR
187.127.0.0/16,"Telemar Norte Leste S.A.",BR
187.13.128.0/19,"Telemar Norte Leste S.A.",BR
187.13.160.0/19,"Telemar Norte Leste S.A.",BR
187.131.0.0/19,"Uninet S.A. de C.V.",MX
187.135.192.0/19,"Uninet S.A. de C.V.",MX
187.136.0.0/19,"Uninet S.A. de C.V.",MX
187.143.128.0/19,"Uninet S.A. de C.V.",MX
187.144.192.0/19,"Uninet S.A. de C.V.",MX
187.151.0.0/19,"Uninet S.A. de C.V.",MX
187.153.32.0/19,"Uninet S.A. de C.V.",MX
187.159.96.0/19,"Uninet S.A. de C.V.",MX
187.165.192.0/18,"Axtel, S.A.B. de C.V.",MX
187.17.56.0/22,NO_N,ZZ
187.172.0.0/16,"Uninet S.A. de C.V.",MX
187.181.96.0/19,"CLARO S.A.",BR
187.182.64.0/19,"CLARO S.A.",BR
187.188.132.0/24,"TOTAL PLAY TELECOMUNICACIONES SA DE CV",MX
187.19.160.0/20,"BRISANET SERVICOS DE TELECOMUNICACOES LTDA",BR
187.19.192.0/20,"BRISANET SERVICOS DE TELECOMUNICACOES LTDA",BR
187.194.128.0/17,"Uninet S.A. de C.V.",MX
187.205.0.0/16,"Uninet S.A. de C.V.",MX
187.208.0.0/16,"Uninet S.A. de C.V.",MX
187.22.0.0/17,"CLARO S.A.",BR
187.22.128.0/17,"CLARO S.A.",BR
187.22.192.0/19,"CLARO S.A.",BR
187.23.160.0/20,"CLARO S.A.",BR
187.240.128.0/17,"SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.",MX
187.241.144.0/20,"Mega Cable, S.A. de C.V.",MX
187.252.124.0/22,"Cablemas Telecomunicaciones SA de CV",MX
187.252.96.0/19,"Cablemas Telecomunicaciones SA de CV",MX
187.27.0.0/17,"Claro S/A",BR
187.32.0.0/16,"ALGAR TELECOM S/A",BR
187.34.0.0/15,"TELEFÔNICA BRASIL S.A",BR
187.36.0.0/14,"CLARO S.A.",BR
187.37.0.0/16,"CLARO S.A.",BR
187.39.104.0/21,"CLARO S.A.",BR
187.4.64.0/18,"Brasil Telecom S/A - Filial Distrito Federal",BR
187.40.0.0/14,"Telemar Norte Leste S.A.",BR
187.40.64.0/19,"Telemar Norte Leste S.A.",BR
187.41.128.0/18,"Telemar Norte Leste S.A.",BR
187.44.128.0/17,"ITS TELECOMUNICAÇÕES LTDA",BR
187.45.224.0/19,"Locaweb Serviços de Internet S/A",BR
187.54.128.0/18,"Brasil Telecom S/A - Filial Distrito Federal",BR
187.54.192.0/18,"Brasil Telecom S/A - Filial Distrito Federal",BR
187.54.64.0/18,"Brasil Telecom S/A - Filial Distrito Federal",BR
187.56.0.0/15,"TELEFÔNICA BRASIL S.A",BR
187.58.176.0/21,"Global Village Telecom",BR
187.60.128.0/20,"Navinet Ltda",BR
187.60.32.0/20,"Infoway Servicos de Informatica Ltda",BR
187.61.192.0/18,"CABO SERVICOS DE TELECOMUNICACOES LTDA",BR
187.63.180.0/23,"BITCOM PROVEDOR DE SERVICOS DE INTERNET LTDA",BR
187.7.192.0/18,"Brasil Telecom S/A - Filial Distrito Federal",BR
187.79.0.0/16,"Telemar Norte Leste S.A.",BR
187.84.248.0/22,"ABAETE NET SERVIÇOS EM TECNOL. DE INFORMÁTICA LTDA",BR
187.85.32.0/21,"SILVA & SILVEIRA S/C LTDA - ME",BR
187.87.207.0/24,NO_N,ZZ
187.87.80.0/20,NO_N,ZZ
187.94.96.0/20,"Globalwave Telecom",BR
187.95.192.0/21,"DUALTEC INFORMATICA LTDA",BR
187.95.35.0/24,"Altarede de Teresopolis Provedor de Internet Ltda",BR
188.10.0.0/16,"ASN-IBSNAZ Telecom Italia S.p.a.",IT
188.112.64.0/18,"SLOVANET-BROADBAND Slovanet a.s.",SK
188.114.128.0/18,"ASEMNET EnergiMidt Fiberbredband A/S",DK
188.116.0.0/18,"NEPHAX-AS NEPHAX Spolka jawna Arkadiusz Kawalec Michal Podsiadly",PL
188.119.150.0/23,"HM-AS HOSTING MEDIA SRL",RO
188.120.192.0/19,"IP4ISP IP4ISP z.s.p.o",CZ
188.120.224.0/20,"ISPSYSTEM-AS JSC _ISPsystem_",LU
188.120.253.0/24,"ISPSYSTEM-AS JSC _ISPsystem_",LU
188.121.103.0/24,"BERELIANNET Pardaz Gostar Ertebatat Berelian Limited Liability Company",IR
188.126.0.0/19,"NADEJDANET Nadejda.Net Ltd",BG
188.127.233.0/24,"OVERSUN Oversun Ltd",RU
188.127.239.0/24,"OVERSUN Oversun Ltd",RU
188.129.0.0/17,"AMISHR AMIS Telekom d.o.o.",HR
188.132.222.0/24,"SADECEHOSTING-COM Hosting Internet Hizmetleri Sanayi ve Ticaret Anonim Sirketi",TR
188.135.152.0/21,"ARIASPA ARIA S.P.A.",IT
188.135.168.0/23,"ARIASPA ARIA S.P.A.",IT
188.135.240.0/22,"ARIASPA ARIA S.P.A.",IT
188.135.248.0/21,"ARIASPA ARIA S.P.A.",IT
188.138.0.0/17,"PLUSSERVER-AS PlusServer AG",DE
188.138.1.0/24,"PLUSSERVER-AS PlusServer AG",DE
188.138.234.0/24,"STARNET-AS StarNet Moldova",MD
188.138.41.0/24,"PLUSSERVER-AS PlusServer AG",DE
188.138.9.0/24,"PLUSSERVER-AS PlusServer AG",DE
188.143.128.0/17,"PIN-AS Petersburg Internet Network ltd.",RU
188.143.232.0/22,"PIN-AS Petersburg Internet Network ltd.",RU
188.146.0.0/15,"TMPL T-MOBILE POLSKA SPOLKA AKCYJNA",PL
188.163.64.0/18,"GOLDENTELECOM-UKRAINE _Kyivstar_ PJSC",UA
188.163.77.0/24,"GOLDENTELECOM-UKRAINE _Kyivstar_ PJSC",UA
188.163.90.0/24,"GOLDENTELECOM-UKRAINE _Kyivstar_ PJSC",UA
188.165.0.0/16,"OVH OVH SAS",FR
188.165.154.32/27,"OVH OVH SAS",FR
188.165.192.0/18,"OVH OVH SAS",FR
188.186.0.0/17,"ERTH-TMN-AS JSC _ER-Telecom Holding_",RU
188.215.20.0/22,"XTGLOBAL XT GLOBAL NETWORKS LTD.",RO
188.216.0.0/15,"VODAFONE-IT-ASN Vodafone Omnitel B.V.",IT
