cidr	origin	asname	country
176.74.184.0/21	13768	"Peer 1 Network (USA) Inc."	GB
176.74.188.0/22	13768	"Peer 1 Network (USA) Inc."	GB
176.77.64.0/18	12714	"Net By Net Holding LLC"	RU
176.78.0.0/15	3243	"MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A."	PT
176.8.0.0/16	15895	"Kyivstar PJSC"	UA
176.9.0.0/16	24940	"Hetzner Online GmbH"	DE
176.9.0.0/17	24940	"Hetzner Online GmbH"	DE
176.9.128.0/17	24940	"Hetzner Online GmbH"	DE
176.9.3.64/27	24940	"Hetzner Online GmbH"	DE
176.9.61.96/27	24940	"Hetzner Online GmbH"	DE
176.96.192.0/19	49029	"PROLINK LLC"	UA
176.97.116.0/22	35554	"SPD Verdi Andrei Sergeevich"	UA
177.10.120.0/22	53236	"Soluções Informática Ltda."	BR
177.100.224.0/22	28281	"PROVEDOR DE ACESSO LTDA"	BR
177.101.32.0/20	262606	"TECNOLOGY LTDA"	BR
177.102.0.0/15	27699	"TELEFÔNICA BRASIL S.A"	BR
177.104.252.0/24	52657	"TELECOMUNICAÇÕES SERVIÇOS DE INTERNET LTDA"	BR
177.105.151.0/24	262462	"COMUNICAÇÃO LTDA"	BR
177.12.172.0/22	28299	"Internet Ltda"	BR
177.125.24.0/22	52866	"Telecom Serv em Telecomunicoes Ltda"	BR
177.126.243.0/24	262363	"Wharehouse Informatica e Multimidia Ltda"	BR
177.128.120.0/22	52870	"Disk Sistema Tele-Informatica Ltda- ME"	BR
177.128.224.0/24	262379	TELECOM	BR
177.129.185.0/24	262566	"Link Sete Servicos de Internet e Redes Ltda"	BR
177.13.227.0/24	262849	"SERVIÇOS DE BANDA LARGA LTDA"	BR
177.13.43.0/24	262849	"SERVIÇOS DE BANDA LARGA LTDA"	BR
177.130.152.0/22	28202	"Rede Brasileira de Comunicacao Ltda"	BR
177.130.216.0/21	28270	"Videomar Rede Nordeste S/A"	BR
177.132.224.0/19	18881	"Global Village Telecom"	BR
177.133.0.0/18	18881	"Global Village Telecom"	BR
177.133.192.0/19	18881	"Global Village Telecom"	BR
177.134.0.0/19	18881	"Global Village Telecom"	BR
177.134.160.0/19	18881	"Global Village Telecom"	BR
177.134.96.0/19	18881	"Global Village Telecom"	BR
177.138.0.0/15	27699	"TELEFÔNICA BRASIL S.A"	BR
177.148.192.0/18	26615	"Tim Celular S.A."	BR
177.15.64.0/19	53237	"BRASILEIRAS S. A. - TELEBRAS"	BR
177.154.216.0/21	262293	"Sistema Oeste de Serviços LTDA"	BR
177.156.0.0/14	18881	"Global Village Telecom"	BR
177.156.192.0/19	18881	"Global Village Telecom"	BR
177.156.224.0/19	18881	"Global Village Telecom"	BR
177.158.224.0/19	18881	"Global Village Telecom"	BR
177.158.32.0/19	18881	"Global Village Telecom"	BR
177.159.128.0/19	18881	"Global Village Telecom"	BR
177.16.0.0/14	18881	"Global Village Telecom"	BR
177.16.128.0/22	18881	"Global Village Telecom"	BR
177.16.80.0/20	18881	"Global Village Telecom"	BR
177.177.0.0/19	7738	"Telemar Norte Leste S.A."	BR
177.177.160.0/19	7738	"Telemar Norte Leste S.A."	BR
177.179.224.0/19	7738	"Telemar Norte Leste S.A."	BR
177.179.32.0/19	7738	"Telemar Norte Leste S.A."	BR
177.18.64.0/19	18881	"Global Village Telecom"	BR
177.182.0.0/16	28573	S.A.	BR
177.184.104.0/21	262673	"Lafaiete Provedor de Internet e Telecomunic Ltda"	BR
177.188.0.0/15	27699	"TELEFÔNICA BRASIL S.A"	BR
177.190.72.0/21	263135	"PORTONET TELECOMUNICAÇÕES LTDA ME"	BR
177.192.0.0/14	28573	S.A.	BR
177.193.16.0/20	28573	S.A.	BR
177.195.128.0/18	28573	S.A.	BR
177.199.0.0/17	26599	"TELEFÔNICA BRASIL S.A"	BR
177.200.0.0/20	52775	"TecleNet Solucoes Tecnologicas"	BR
177.200.56.0/21	52781	"Pertec Servicos de Telecomunicacoes ltda"	BR
177.204.0.0/14	18881	"Global Village Telecom"	BR
177.204.112.0/20	18881	"Global Village Telecom"	BR
177.206.32.0/21	18881	"Global Village Telecom"	BR
177.206.40.0/21	18881	"Global Village Telecom"	BR
177.207.96.0/20	18881	"Global Village Telecom"	BR
177.21.240.0/20	11835	"INFORMATICA LTDA"	BR
177.212.0.0/14	26599	"TELEFÔNICA BRASIL S.A"	BR
177.221.224.0/20	53022	"LTDA EPP"	BR
177.221.84.0/22	52653	"Marlon L. Larger & Cia Ltda"	BR
177.222.228.0/22	263402	"INFORMATICA.COM LTDA"	BR
177.222.80.0/20	52840	"TELECOMUNICACOES LTDA"	BR
177.23.28.0/22	52762	"Band Telecomunicações Ltda"	BR
177.234.144.0/20	53055	"HostDime.com.br Data Center"	BR
177.235.0.0/16	28573	S.A.	BR
177.246.96.0/19	13999	"Mega Cable, S.A. de C.V."	MX
177.33.0.0/16	28573	S.A.	BR
177.34.64.0/20	28573	S.A.	BR
177.35.0.0/20	28573	S.A.	BR
177.35.192.0/20	28573	S.A.	BR
177.35.56.0/21	28573	S.A.	BR
177.36.160.0/20	53122	"super midia tv a cabo ltda"	BR
177.36.96.0/19	52972	"Tech Cable do Brasil Sist. de Telec. Ltda"	BR
177.37.78.0/23	262417	"Gustavo Zanatta e Cia Ltda"	BR
177.38.108.0/24	262774	"Tdnet Ltda"	BR
177.38.178.0/24	52971	"TELECOM EIRELI"	BR
177.39.128.0/24	262426	"Serviços em Informatica Ltda"	BR
177.4.64.0/18	8167	"Brasil Telecom S/A - Filial Distrito Federal"	BR
177.40.64.0/20	18881	"Global Village Telecom"	BR
177.40.80.0/20	18881	"Global Village Telecom"	BR
177.43.16.0/20	18881	"Global Village Telecom"	BR
177.43.204.0/22	18881	"Global Village Telecom"	BR
177.44.208.0/21	53230	"Clean Net Telecom Ltda"	BR
177.45.0.0/17	19182	"TELEFÔNICA BRASIL S.A"	BR
177.47.192.0/20	262470	"Pontenet Teleinformática Ltda."	BR
177.5.64.0/18	8167	"Brasil Telecom S/A - Filial Distrito Federal"	BR
177.53.197.0/24	52833	"INFORMATICA TECNOLOGIA COMUNICAO e HARDW"	BR
177.54.224.0/20	262462	"COMUNICAÇÃO LTDA"	BR
177.55.96.0/19	19089	"DH&C Outsourccing S/A."	BR
177.57.0.0/17	22085	"Claro S/A"	BR
177.6.64.0/18	8167	"Brasil Telecom S/A - Filial Distrito Federal"	BR
177.64.0.0/15	28573	S.A.	BR
177.64.128.0/19	28573	S.A.	BR
177.64.192.0/19	28573	S.A.	BR
177.68.0.0/16	27699	"TELEFÔNICA BRASIL S.A"	BR
177.69.0.0/16	16735	"TELECOM S/A"	BR
177.71.128.0/17	16509	"Amazon.com, Inc."	BR
177.71.192.0/20	16509	"Amazon.com, Inc."	BR
177.71.208.0/20	16509	"Amazon.com, Inc."	BR
177.71.224.0/19	16509	"Amazon.com, Inc."	BR
177.71.64.0/20	262561	"MULTIMIDIA LTDA"	BR
177.72.240.0/21	16509	"Amazon.com, Inc."	BR
177.73.32.0/22	53025	"MENNE.SYS - Comércio & Serviços de Informática LTD"	BR
177.74.208.0/20	28343	"TELECOMUNICACOES LTDA"	BR
177.75.112.0/20	52819	"Plácido e Andrade LTDA"	BR
177.75.48.0/20	262588	"INFOLINK TECNOLOGIA E TELECOMUNICACOES"	BR
177.75.72.0/21	53087	"INFORMÁTICA LTDA"	BR
177.8.160.0/20	53231	"COMUNICACAO MULTIMIDIA LTDA"	BR
177.80.0.0/14	28573	S.A.	BR
177.82.160.0/20	28573	S.A.	BR
177.85.102.0/24	51167	"Contabo GmbH"	BR
177.85.44.0/22	263296	"Interfacil - Internet Provider"	BR
177.85.65.0/24	262600	"TELECOMUNICAÇOES LTDA ME"	BR
177.85.96.0/24	51167	"Contabo GmbH"	BR
177.87.104.0/22	262300	"LUIZ TENORIO FREITAS MELRO - ME"	BR
177.87.152.0/22	52579	"Noroestecom Telecomunicacoes Ltda"	BR
177.87.32.0/22	53184	"Telecom EIRELI - ME"	BR
177.91.149.0/24	263442	"FISCHER GRUTZMANN & CIA LTDA"	BR
177.92.32.0/19	14868	"Telecom S.A."	BR
177.94.0.0/15	27699	"TELEFÔNICA BRASIL S.A"	BR
177.96.64.0/19	18881	"Global Village Telecom"	BR
177.99.192.0/20	18881	"Global Village Telecom"	BR
178.120.0.0/13	6697	"Republican Unitary Telecommunication Enterprise Beltelecom"	BY
178.120.0.0/15	6697	"Republican Unitary Telecommunication Enterprise Beltelecom"	BY
178.124.130.0/24	6697	"Republican Unitary Telecommunication Enterprise Beltelecom"	BY
178.125.0.0/16	6697	"Republican Unitary Telecommunication Enterprise Beltelecom"	BY
178.137.0.0/16	15895	"Kyivstar PJSC"	UA
178.137.0.0/17	15895	"Kyivstar PJSC"	UA
178.137.128.0/17	15895	"Kyivstar PJSC"	UA
178.137.64.0/18	15895	"Kyivstar PJSC"	UA
178.148.0.0/15	31042	"Serbia BroadBand-Srpske Kablovske mreze d.o.o."	RS
178.150.142.0/23	13188	"CONTENT DELIVERY NETWORK LTD"	UA
178.152.252.0/22	8781	"Ooredoo Q.S.C."	QA
178.156.202.0/24	3223	"Voxility S.R.L."	RO
178.157.192.0/18	43557	"EnergiMidt Fiberbredband A/S"	DK
178.159.96.0/20	44750	"TOV 'Solarix Consulting LTD'"	UA
178.16.16.0/20	12993	"SIA Digitalas Ekonomikas Attistibas Centrs"	LV
178.162.0.0/17	20807	"Credolink ISP"	RU
178.162.128.0/17	28753	"Leaseweb Deutschland GmbH"	DE
178.162.192.0/19	28753	"Leaseweb Deutschland GmbH"	DE
178.162.208.0/21	28753	"Leaseweb Deutschland GmbH"	DE
178.170.145.0/24	12586	"GHOSTnet GmbH"	BE
178.172.206.0/24	48743	"TeleSet Ltd"	BY
178.172.207.0/24	48743	"TeleSet Ltd"	BY
178.175.128.0/17	43289	"trabia network"	MD
178.18.124.0/22	50056	"Ai Networks Limited"	GB
178.18.141.1/32	25459	"NedZone Internet BV"	NL
178.18.141.16/28	25459	"NedZone Internet BV"	NL
178.18.141.2/31	25459	"NedZone Internet BV"	NL
178.18.141.32/27	25459	"NedZone Internet BV"	NL
178.18.141.4/30	25459	"NedZone Internet BV"	NL
178.18.141.64/26	25459	"NedZone Internet BV"	NL
178.18.141.8/29	25459	"NedZone Internet BV"	NL
178.18.146.0/24	48039	"GHOSTnet GmbH"	DE
178.18.147.0/24	48039	"GHOSTnet GmbH"	DE
178.18.148.0/24	48039	"GHOSTnet GmbH"	DE
178.18.149.0/24	48039	"GHOSTnet GmbH"	DE
178.18.150.0/24	48039	"GHOSTnet GmbH"	DE
178.18.151.0/24	12586	"GHOSTnet GmbH"	DE
178.18.156.0/22	48039	"GHOSTnet GmbH"	DE
178.19.64.0/20	29551	"Aixit GmbH"	DE
178.204.0.0/14	28840	"OJSC OAO TATTELECOM"	RU
178.204.0.0/17	28840	"OJSC OAO TATTELECOM"	RU
178.211.184.0/21	48524	"INTERRA telecommunications group, Ltd."	RU
178.211.64.0/19	47408	"Mandarin S.p.A."	IT
178.215.160.0/20	42590	"Telemost LLC"	UA
178.217.184.0/21	51290	"HOSTEAM S.C. TOMASZ GROSZEWSKI BARTOSZ WASZAK LUKASZ GROSZEWSKI"	PL
178.218.210.0/23	42244	"Hosting Operator eServer.ru Ltd."	RU
178.219.80.0/20	51069	"Dnepronet Ltd."	UA
178.22.144.0/21	44902	"COVAGE NETWORKS SASU"	FR
178.233.133.0/24	47524	"Turksat Uydu Haberlesme ve Kablo TV Isletme A.S."	TR
178.234.0.0/16	8570	"PJSC Rostelecom"	RU
178.234.0.0/17	8570	"PJSC Rostelecom"	RU
178.234.0.0/18	8570	"PJSC Rostelecom"	RU
178.234.128.0/17	8570	"PJSC Rostelecom"	RU
178.236.0.0/20	16509	"Amazon.com, Inc."	IE
178.238.224.0/23	51167	"Contabo GmbH"	DE
178.238.224.0/24	51167	"Contabo GmbH"	DE
178.238.225.0/24	51167	"Contabo GmbH"	DE
178.238.226.0/23	51167	"Contabo GmbH"	DE
178.238.226.0/24	51167	"Contabo GmbH"	DE
178.238.227.0/24	51167	"Contabo GmbH"	DE
178.238.228.0/23	51167	"Contabo GmbH"	DE
178.238.228.0/24	51167	"Contabo GmbH"	DE
178.238.229.0/24	51167	"Contabo GmbH"	DE
178.238.230.0/23	51167	"Contabo GmbH"	DE
178.238.230.0/24	51167	"Contabo GmbH"	DE
178.238.231.0/24	51167	"Contabo GmbH"	DE
178.238.232.0/23	51167	"Contabo GmbH"	DE
178.238.232.0/24	51167	"Contabo GmbH"	DE
178.238.233.0/24	51167	"Contabo GmbH"	DE
178.238.234.0/23	51167	"Contabo GmbH"	DE
178.238.234.0/24	51167	"Contabo GmbH"	DE
178.238.235.0/24	51167	"Contabo GmbH"	DE
178.238.236.0/23	51167	"Contabo GmbH"	DE
178.238.236.0/24	51167	"Contabo GmbH"	DE
178.238.237.0/24	51167	"Contabo GmbH"	DE
178.238.238.0/23	51167	"Contabo GmbH"	DE
178.238.238.0/24	51167	"Contabo GmbH"	DE
178.238.95.0/24	12586	"GHOSTnet GmbH"	GB
178.239.50.0/24	47869	Netrouting	NL
178.241.128.0/19	16135	"TURKCELL ILETISIM HIZMETLERI A.S."	TR
178.249.184.0/21	20836	"CDLAN s.r.l."	IT
178.252.64.0/18	42893	"Nord-West Link NP"	RU
178.254.0.0/19	42730	"EVANZO e-commerce GmbH"	DE
178.254.32.0/20	42730	"EVANZO e-commerce GmbH"	DE
178.255.144.0/21	50304	"Blix Solutions AS"	NO
178.255.215.0/24	41935	"DASSAULT SYSTEMES SE"	FR
178.32.0.0/15	16276	"OVH SAS"	FR
178.32.133.0/24	16276	"OVH SAS"	FR
178.32.134.0/24	16276	"OVH SAS"	FR
178.32.135.0/24	16276	"OVH SAS"	FR
178.33.224.0/20	16276	"OVH SAS"	FR
178.46.32.0/19	28719	"PJSC Rostelecom"	RU
178.46.64.0/18	6828	"PJSC Rostelecom"	RU
178.47.64.0/19	12705	"PJSC Rostelecom"	RU
178.57.65.0/24	50896	"Trusov Ilya Igorevych"	RU
178.57.68.0/24	50896	"Trusov Ilya Igorevych"	RU
178.62.0.0/17	202109	"Digital Ocean, Inc."	GB
178.62.0.0/18	202109	"Digital Ocean, Inc."	GB
178.62.128.0/17	200130	"Digital Ocean, Inc."	NL
178.62.128.0/18	200130	"Digital Ocean, Inc."	NL
178.62.192.0/18	202018	"Digital Ocean, Inc."	NL
178.62.64.0/18	202109	"Digital Ocean, Inc."	GB
178.63.0.0/16	24940	"Hetzner Online GmbH"	DE
178.63.97.0/26	24940	"Hetzner Online GmbH"	DE
178.65.0.0/17	8997	"PJSC Rostelecom"	RU
178.74.192.0/18	49223	"Everest Broadcasting Company Ltd"	UA
178.79.128.0/18	15830	"TELECITYGROUP INTERNATIONAL LIMITED"	GB
178.79.40.0/23	51052	"Preduzece za proizvodnju, promet i inzenjering Kopernikus technology D.O.O"	RS
178.79.6.0/23	51052	"Preduzece za proizvodnju, promet i inzenjering Kopernikus technology D.O.O"	RS
178.85.0.0/16	6830	"Liberty Global Operations B.V."	NL
178.88.0.0/14	9198	"JSC Kazakhtelecom"	KZ
178.90.224.0/21	9198	"JSC Kazakhtelecom"	KZ
178.91.16.0/21	9198	"JSC Kazakhtelecom"	KZ
178.91.192.0/20	9198	"JSC Kazakhtelecom"	KZ
178.92.0.0/16	6849	"PJSC UKRTELECOM"	UA
179.105.0.0/16	28573	S.A.	BR
179.105.48.0/20	28573	S.A.	BR
179.107.232.0/21	262293	"Sistema Oeste de Serviços LTDA"	BR
179.108.104.0/22	28303	"OptiTel Ltda"	BR
179.125.128.0/17	28649	"Desktop Sigmanet Comunicação Multimídia Ltda"	BR
179.125.38.0/24	262847	"Hoinaski & Sklasky Ltda"	BR
179.126.0.0/16	53006	"TELECOM S/A"	BR
179.128.0.0/14	26599	"TELEFÔNICA BRASIL S.A"	BR
179.155.0.0/19	28573	S.A.	BR
179.155.160.0/19	28573	S.A.	BR
179.156.0.0/14	28573	S.A.	BR
179.156.0.0/18	28573	S.A.	BR
179.157.24.0/21	28573	S.A.	BR
179.158.128.0/19	28573	S.A.	BR
179.176.160.0/20	18881	"Global Village Telecom"	BR
179.178.96.0/21	18881	"Global Village Telecom"	BR
179.179.0.0/21	18881	"Global Village Telecom"	BR
179.180.0.0/14	18881	"Global Village Telecom"	BR
179.181.32.0/19	18881	"Global Village Telecom"	BR
179.182.176.0/20	18881	"Global Village Telecom"	BR
179.183.64.0/21	18881	"Global Village Telecom"	BR
179.183.80.0/20	18881	"Global Village Telecom"	BR
179.184.0.0/14	18881	"Global Village Telecom"	BR
179.184.197.216/29	18881	"Global Village Telecom"	BR
179.187.160.0/20	18881	"Global Village Telecom"	BR
179.187.224.0/19	18881	"Global Village Telecom"	BR
179.191.192.0/19	28210	"OPENLINK COMUNICAÇÃO MULTIMIDIA E INFORMÁTICA L"	BR
179.197.160.0/19	7738	"Telemar Norte Leste S.A."	BR
179.199.0.0/16	7738	"Telemar Norte Leste S.A."	BR
179.199.192.0/18	7738	"Telemar Norte Leste S.A."	BR
179.199.64.0/18	7738	"Telemar Norte Leste S.A."	BR
179.208.0.0/14	28573	S.A.	BR
179.208.0.0/16	28573	S.A.	BR
179.209.0.0/16	28573	S.A.	BR
179.211.160.0/19	28573	S.A.	BR
179.211.240.0/21	28573	S.A.	BR
179.212.0.0/14	28573	S.A.	BR
179.215.160.0/19	28573	S.A.	BR
179.216.96.0/20	28573	S.A.	BR
179.217.0.0/18	28573	S.A.	BR
179.223.0.0/17	28573	S.A.	BR
179.228.0.0/14	26599	"TELEFÔNICA BRASIL S.A"	BR
179.233.0.0/19	28573	S.A.	BR
179.233.160.0/19	28573	S.A.	BR
179.234.64.0/19	28573	S.A.	BR
179.34.128.0/18	26615	"Tim Celular S.A."	BR
179.34.192.0/18	26615	"Tim Celular S.A."	BR
179.4.0.0/16	6535	"Telmex Servicios Empresariales S.A."	CL
179.40.68.0/24	22927	"Telefonica de Argentina"	AR
179.43.128.0/18	51852	"Private Layer INC"	CH
179.43.134.192/26	51852	"Private Layer INC"	CH
179.52.0.0/15	6400	"Compañía Dominicana de Teléfonos, C. por A. - CODETEL"	DO
179.61.128.0/18	12586	"GHOSTnet GmbH"	CL
179.61.128.0/19	12586	"GHOSTnet GmbH"	CL
179.61.128.0/24	12586	"GHOSTnet GmbH"	CL
179.61.130.0/24	12586	"GHOSTnet GmbH"	CL
179.61.131.0/24	12586	"GHOSTnet GmbH"	US
179.61.132.0/24	12586	"GHOSTnet GmbH"	CL
179.61.133.0/24	12586	"GHOSTnet GmbH"	US
179.61.134.0/24	12586	"GHOSTnet GmbH"	CL
179.61.135.0/24	12586	"GHOSTnet GmbH"	US
179.61.136.0/24	12586	"GHOSTnet GmbH"	CL
179.61.138.0/24	12586	"GHOSTnet GmbH"	CL
179.61.139.0/24	12586	"GHOSTnet GmbH"	US
179.61.140.0/24	12586	"GHOSTnet GmbH"	CL
179.61.141.0/24	12586	"GHOSTnet GmbH"	US
179.61.142.0/24	12586	"GHOSTnet GmbH"	CL
179.61.143.0/24	12586	"GHOSTnet GmbH"	US
179.61.144.0/24	12586	"GHOSTnet GmbH"	DE
179.61.145.0/24	12586	"GHOSTnet GmbH"	ES
179.61.146.0/24	12586	"GHOSTnet GmbH"	DE
179.61.147.0/24	12586	"GHOSTnet GmbH"	HR
179.61.148.0/24	12586	"GHOSTnet GmbH"	DE
179.61.149.0/24	12586	"GHOSTnet GmbH"	IE
179.61.150.0/24	12586	"GHOSTnet GmbH"	DE
179.61.151.0/24	12586	"GHOSTnet GmbH"	BE
179.61.152.0/24	12586	"GHOSTnet GmbH"	DE
179.61.153.0/24	12586	"GHOSTnet GmbH"	GB
179.61.154.0/24	12586	"GHOSTnet GmbH"	DE
179.61.155.0/24	12586	"GHOSTnet GmbH"	GB
179.61.156.0/24	12586	"GHOSTnet GmbH"	DE
179.61.157.0/24	12586	"GHOSTnet GmbH"	RU
179.61.158.0/24	12586	"GHOSTnet GmbH"	DE
179.61.159.0/24	12586	"GHOSTnet GmbH"	HR
179.61.160.0/19	12586	"GHOSTnet GmbH"	DE
179.61.160.0/24	12586	"GHOSTnet GmbH"	DE
179.61.161.0/24	12586	"GHOSTnet GmbH"	IE
179.61.162.0/24	12586	"GHOSTnet GmbH"	DE
179.61.163.0/24	12586	"GHOSTnet GmbH"	GB
179.61.164.0/24	12586	"GHOSTnet GmbH"	DE
179.61.165.0/24	12586	"GHOSTnet GmbH"	GB
179.61.166.0/24	12586	"GHOSTnet GmbH"	DE
179.61.167.0/24	12586	"GHOSTnet GmbH"	ES
179.61.168.0/24	12586	"GHOSTnet GmbH"	DE
179.61.169.0/24	12586	"GHOSTnet GmbH"	NL
179.61.170.0/24	12586	"GHOSTnet GmbH"	DE
179.61.171.0/24	12586	"GHOSTnet GmbH"	GB
179.61.172.0/24	12586	"GHOSTnet GmbH"	DE
179.61.173.0/24	12586	"GHOSTnet GmbH"	ES
179.61.174.0/24	12586	"GHOSTnet GmbH"	DE
179.61.175.0/24	12586	"GHOSTnet GmbH"	SK
179.61.176.0/24	12586	"GHOSTnet GmbH"	DE
179.61.177.0/24	12586	"GHOSTnet GmbH"	SE
179.61.178.0/24	12586	"GHOSTnet GmbH"	DE
179.61.179.0/24	12586	"GHOSTnet GmbH"	GB
179.61.180.0/24	12586	"GHOSTnet GmbH"	DE
179.61.181.0/24	12586	"GHOSTnet GmbH"	DK
179.61.182.0/24	12586	"GHOSTnet GmbH"	DE
179.61.183.0/24	12586	"GHOSTnet GmbH"	TR
179.61.184.0/24	12586	"GHOSTnet GmbH"	DE
179.61.185.0/24	12586	"GHOSTnet GmbH"	GB
179.61.186.0/24	12586	"GHOSTnet GmbH"	DE
179.61.187.0/24	12586	"GHOSTnet GmbH"	ES
179.61.188.0/24	12586	"GHOSTnet GmbH"	DE
179.61.189.0/24	12586	"GHOSTnet GmbH"	AU
179.61.190.0/24	12586	"GHOSTnet GmbH"	DE
179.61.191.0/24	12586	"GHOSTnet GmbH"	GR
179.61.200.0/23	199793	"Trusov Ilya Igorevych"	DE
179.61.252.0/24	33182	"HostDime.com, Inc."	JO
179.7.80.0/20	12252	"America Movil Peru S.A.C."	PE
179.7.96.0/19	12252	"America Movil Peru S.A.C."	PE
179.97.128.0/18	19182	"TELEFÔNICA BRASIL S.A"	BR
179.98.0.0/15	27699	"TELEFÔNICA BRASIL S.A"	BR
18.0.0.0/8	3	"Massachusetts Institute of Technology"	US
180.148.211.0/24	45905	"52/1, Hasan Holding, 3rd Floor"	BD
180.150.128.0/19	45187	"Rackspace IT Hosting AS IT Hosting Provider Hong Kong"	HK
180.150.188.0/22	23724	"IDC, China Telecommunications Corporation"	CN
180.150.227.0/24	4766	"Korea Telecom"	KR
180.152.0.0/16	4812	"China Telecom (Group)"	CN
180.167.0.0/16	4812	"China Telecom (Group)"	CN
180.189.83.0/24	9770	"SOOSUNG CABLE TELEVISION INC"	KR
180.190.92.0/22	132199	"Globe Telecom Inc."	PH
180.191.120.0/22	132199	"Globe Telecom Inc."	PH
180.210.200.0/21	45634	"10 Science Park Road"	SG
180.214.232.0/24	45727	"Hutchison CP Telecommunications, PT"	ID
180.215.128.0/19	131222	"334,Udyog Vihar"	IN
180.216.64.0/19	38657	"WAWB Pty Ltd"	AU
180.234.0.0/16	45951	"Augere Wireless Broadband Bangladesh Limited"	BD
180.235.148.0/24	45731	"ARDH GLOBAL INDONESIA, PT"	ID
180.242.78.0/23	17974	"PT Telekomunikasi Indonesia"	ID
180.245.80.0/21	17974	"PT Telekomunikasi Indonesia"	ID
180.248.0.0/16	17974	"PT Telekomunikasi Indonesia"	ID
180.250.0.0/16	17974	"PT Telekomunikasi Indonesia"	ID
180.252.208.0/20	17974	"PT Telekomunikasi Indonesia"	ID
180.253.144.0/21	17974	"PT Telekomunikasi Indonesia"	ID
180.76.0.0/16	55967	"Beijing Baidu Netcom Science and Technology Co., Ltd."	CN
180.76.15.0/24	55967	"Beijing Baidu Netcom Science and Technology Co., Ltd."	CN
180.93.132.0/22	7602	"Saigon Postel Corporation"	VN
180.97.192.0/22	23650	"AS Number for CHINANET jiangsu province backbone"	CN
181.117.0.0/18	19037	"Argentina S.A."	AR
181.120.64.0/19	23201	"Telecel S.A."	PY
181.135.128.0/19	13489	"Telecomunicaciones S.A. E.S.P."	CO
181.136.128.0/17	13489	"Telecomunicaciones S.A. E.S.P."	CO
181.138.128.0/17	13489	"Telecomunicaciones S.A. E.S.P."	CO
181.14.242.80/29	7303	"Telecom Argentina S.A."	AR
181.165.224.0/19	10318	S.A.	AR
181.169.128.0/19	10481	"Prima S.A."	AR
181.196.232.0/21			EC
181.199.128.0/20	32034	"NewCom International, Inc."	PE
181.20.0.0/14	22927	"Telefonica de Argentina"	AR
181.211.224.0/21	14420	"NACIONAL DE TELECOMUNICACIONES - CNT EP"	EC
181.214.1.0/24	12586	"GHOSTnet GmbH"	US
181.214.192.0/19	40824	"WZ Communications Inc."	US
181.214.192.0/24	40824	"WZ Communications Inc."	US
181.214.193.0/24	40824	"WZ Communications Inc."	US
181.214.194.0/24	40824	"WZ Communications Inc."	US
181.214.195.0/24	40824	"WZ Communications Inc."	US
181.214.196.0/24	40824	"WZ Communications Inc."	US
181.214.197.0/24	40824	"WZ Communications Inc."	US
181.214.204.0/24	12586	"GHOSTnet GmbH"	BR
181.214.205.0/24	12586	"GHOSTnet GmbH"	PE
181.214.206.0/24	11878	"tzulo, inc."	US
181.214.207.0/24	11878	"tzulo, inc."	US
181.214.208.0/24	12586	"GHOSTnet GmbH"	US
181.214.209.0/24	12586	"GHOSTnet GmbH"	US
181.214.210.0/24	12586	"GHOSTnet GmbH"	US
181.214.211.0/24	12586	"GHOSTnet GmbH"	US
181.214.212.0/24	12586	"GHOSTnet GmbH"	CO
181.214.213.0/24	12586	"GHOSTnet GmbH"	CL
181.214.214.0/24	40824	"WZ Communications Inc."	US
181.214.215.0/24	40824	"WZ Communications Inc."	US
181.214.216.0/24	40824	"WZ Communications Inc."	US
181.214.217.0/24	40824	"WZ Communications Inc."	US
181.214.218.0/24	40824	"WZ Communications Inc."	US
181.214.219.0/24	40824	"WZ Communications Inc."	US
181.214.220.0/24	40824	"WZ Communications Inc."	US
181.214.221.0/24	40824	"WZ Communications Inc."	US
181.214.222.0/24	40824	"WZ Communications Inc."	US
181.214.223.0/24	40824	"WZ Communications Inc."	US
181.214.3.0/24	12586	"GHOSTnet GmbH"	US
181.214.33.0/24	12586	"GHOSTnet GmbH"	DE
181.214.51.0/24	33182	"HostDime.com, Inc."	BR
181.214.88.0/22	40824	"WZ Communications Inc."	US
181.214.88.0/24	40824	"WZ Communications Inc."	US
181.214.89.0/24	40824	"WZ Communications Inc."	US
181.214.90.0/24	43578	"MBA DATACENTERS S.L."	US
181.214.91.0/24	43578	"MBA DATACENTERS S.L."	US
181.214.92.0/23	61440	"Digital Energy Technologies Chile SpA"	US
181.214.92.0/24	61440	"Digital Energy Technologies Chile SpA"	US
181.214.93.0/24	61440	"Digital Energy Technologies Chile SpA"	US
181.215.199.0/24	11878	"tzulo, inc."	US
181.224.128.0/24	32475	"SingleHop, Inc."	US
181.224.129.0/24	32475	"SingleHop, Inc."	US
181.224.130.0/24	32475	"SingleHop, Inc."	US
181.224.131.0/24	32475	"SingleHop, Inc."	NL
181.224.132.0/24	32475	"SingleHop, Inc."	US
181.224.133.0/24	32475	"SingleHop, Inc."	US
181.224.134.0/24	32475	"SingleHop, Inc."	US
181.224.135.0/24	32475	"SingleHop, Inc."	NL
181.224.136.0/24	32475	"SingleHop, Inc."	US
181.224.137.0/24	32475	"SingleHop, Inc."	US
181.224.138.0/24	32475	"SingleHop, Inc."	US
